username,verified,verified_type,profile_url,source,review_id,like_counts,image,date,comment
薪荃一哥,False,-1,https://m.weibo.cn/u/7342167609?uid=7342167609,,4708284722055313,0,"https://tvax4.sinaimg.cn/crop.0.0.664.664.180/0080SZcdly8g9807i5he1j30ig0ig402.jpg?KID=imgbed,tva&Expires=1641997670&ssig=7Ko%2FXWdq0J",2021-11-27,这个视频拍的很有意思的
masakomochitsuki,False,-1,https://m.weibo.cn/u/2831195850?uid=2831195850,,4707534746681427,0,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/a8c09ecaly8gxeemed92aj20ro0romy1.jpg?KID=imgbed,tva&Expires=1641997670&ssig=CkbGEMM4IJ",2021-11-25,也得是做得久才算。
夢裡花落知我意,False,-1,https://m.weibo.cn/u/2938891351?uid=2938891351,,4707501322274713,0,"https://tvax1.sinaimg.cn/crop.0.0.828.828.180/af2bec57ly8glap6rbh6bj20n00n0wf4.jpg?KID=imgbed,tva&Expires=1641997670&ssig=%2Byu65kZSKq",2021-11-25,回复:专业的
黄慧男zm521,False,-1,https://m.weibo.cn/u/5600360796?uid=5600360796,,4707495317078889,0,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/00670xFWly8gt3u0pgsrwj30ro0rowit.jpg?KID=imgbed,tva&Expires=1641997670&ssig=hax9D3gOGH",2021-11-25,回复:许多东西真的不能小看哦。
黄慧男zm521,False,-1,https://m.weibo.cn/u/5600360796?uid=5600360796,,4707495165560449,0,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/00670xFWly8gt3u0pgsrwj30ro0rowit.jpg?KID=imgbed,tva&Expires=1641997670&ssig=hax9D3gOGH",2021-11-25,回复:真的很惊讶呀！
黄慧男zm521,False,-1,https://m.weibo.cn/u/5600360796?uid=5600360796,,4707495114706340,0,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/00670xFWly8gt3u0pgsrwj30ro0rowit.jpg?KID=imgbed,tva&Expires=1641997670&ssig=hax9D3gOGH",2021-11-25,没想到当代的股民这么厉害，隐藏的这么好呀。
三寸人间Cc,True,0,https://m.weibo.cn/u/7063803774?uid=7063803774,,4707494503124092,0,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/007I302Wly8g5j3gdy0pcj30ro0rot9c.jpg?KID=imgbed,tva&Expires=1641997670&ssig=EOqjL80UBt",2021-11-25,回复:确实是这样
三寸人间Cc,True,0,https://m.weibo.cn/u/7063803774?uid=7063803774,,4707494482152339,1,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/007I302Wly8g5j3gdy0pcj30ro0rot9c.jpg?KID=imgbed,tva&Expires=1641997670&ssig=EOqjL80UBt",2021-11-25,这也太努力了吧，真的都是高手，身边有太多这样的人了，创业界的大哥大
做一个正常人爱学习,True,0,https://m.weibo.cn/u/7415947414?uid=7415947414,,4707494117773349,0,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/0085SyH4ly8grxoql6y8xj30ro0ro77r.jpg?KID=imgbed,tva&Expires=1641997670&ssig=rDFCSr7YA7",2021-11-25,回复:都是这样的呀。
做一个正常人爱学习,True,0,https://m.weibo.cn/u/7415947414?uid=7415947414,,4707494091555988,1,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/0085SyH4ly8grxoql6y8xj30ro0ro77r.jpg?KID=imgbed,tva&Expires=1641997671&ssig=El1V3JiQK8",2021-11-25,你们投资到底有多努力啊，一起来看一下吧，一定要正确的投资，要有个引导者。
zhdebn,False,-1,https://m.weibo.cn/u/5272000569?uid=5272000569,,4707493244306271,0,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/005KMMbfly8gtvkh5j4ryj30ro0ro40i.jpg?KID=imgbed,tva&Expires=1641997671&ssig=%2FvUnG8bYOD",2021-11-25,回复:博一博单车变摩托
zhdebn,False,-1,https://m.weibo.cn/u/5272000569?uid=5272000569,,4707493210491589,0,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/005KMMbfly8gtvkh5j4ryj30ro0ro40i.jpg?KID=imgbed,tva&Expires=1641997671&ssig=%2FvUnG8bYOD",2021-11-25,现在的单大家都想赚钱，都想凭自己的本事赚钱，越来越棒
向这风前进,False,-1,https://m.weibo.cn/u/5957533557?uid=5957533557,,4707493047437350,0,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006vbcCVly8gwcfvrlgvsj30ro0ro417.jpg?KID=imgbed,tva&Expires=1641997671&ssig=W%2Bmb08zOV5",2021-11-25,人不可貌相，海水不可斗量
班同格格璧678,False,-1,https://m.weibo.cn/u/6648744767?uid=6648744767,,4707492527866526,0,"https://tvax1.sinaimg.cn/crop.0.0.180.180.180/007fXsePly8g4e68ciztnj30500500so.jpg?KID=imgbed,tva&Expires=1641997671&ssig=tFf80O3%2FHr",2021-11-25,回复:你是老司机了
班同格格璧678,False,-1,https://m.weibo.cn/u/6648744767?uid=6648744767,,4707492397057561,0,"https://tvax1.sinaimg.cn/crop.0.0.180.180.180/007fXsePly8g4e68ciztnj30500500so.jpg?KID=imgbed,tva&Expires=1641997671&ssig=tFf80O3%2FHr",2021-11-25,所以善待身边每一个人，都有可能是你的贵人
枫林786,True,0,https://m.weibo.cn/u/7565483312?uid=7565483312,,4707492338337139,0,"https://tvax4.sinaimg.cn/crop.0.0.664.664.180/008fZZOoly8gnxlrnlaimj30ig0igjs4.jpg?KID=imgbed,tva&Expires=1641997671&ssig=I6O3i2bdkG",2021-11-25,这些股民也太下功夫了吧！佩服他们的潜能力！
kshnv,False,-1,https://m.weibo.cn/u/6741499105?uid=6741499105,,4707492061250563,0,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/007meDSxly8fvw2idjz7fj30ig0igq4c.jpg?KID=imgbed,tva&Expires=1641997671&ssig=6NJSNSIVqD",2021-11-25,回复:真的挺厉害
kshnv,False,-1,https://m.weibo.cn/u/6741499105?uid=6741499105,,4707492036609642,0,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/007meDSxly8fvw2idjz7fj30ig0igq4c.jpg?KID=imgbed,tva&Expires=1641997673&ssig=Aa0LVRqKRa",2021-11-25,投资是有赢有输的，这也太内卷了
文迪786,True,0,https://m.weibo.cn/u/7564652187?uid=7564652187,,4707492015114976,0,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/008fWvB9ly8gnxlsg92vsj30ig0igjrq.jpg?KID=imgbed,tva&Expires=1641997673&ssig=zaVy4IDJBN",2021-11-25,回复:不能暴露，自己知道自己干嘛就行了！
骄傲像个王01,False,-1,https://m.weibo.cn/u/7660527644?uid=7660527644,,4707491952462819,0,"https://tvax1.sinaimg.cn/crop.0.0.132.132.180/008mqNbuly4gsxkttwf3lj303o03oweb.jpg?KID=imgbed,tva&Expires=1641997673&ssig=BtEuIvyvPl",2021-11-25,股票不知道怎么买，也是未成年买不起了呀
文迪786,True,0,https://m.weibo.cn/u/7564652187?uid=7564652187,,4707491771845090,1,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/008fWvB9ly8gnxlsg92vsj30ig0igjrq.jpg?KID=imgbed,tva&Expires=1641997673&ssig=zaVy4IDJBN",2021-11-25,默默无闻储备能量，有朝一日，成功一触即发！
旭仔很带派,True,0,https://m.weibo.cn/u/7612330792?uid=7612330792,,4707491756114764,0,"https://tvax4.sinaimg.cn/crop.0.0.664.664.180/008jayYUly8gtbucc63ylj30ig0igdgy.jpg?KID=imgbed,tva&Expires=1641997673&ssig=t%2FwYb9lN%2BA",2021-11-25,回复:说的非常的对
